Account,Date,Description,Money Out,Money In,Category,Category Excluded,Category Income,Uploaded At,Upload Batch,Not A Duplicate,Counts Toward Period
Millbrook Trust Checking,2026-06-01,Ashford Row Flats - Unit 4B Rent,1100.00,,Rent,No,No,,,No,
Griffon Reserve Credit Card,2026-06-02,Silverline Trolley Co. - Monthly Pass,68.00,,Silverline Trolley Pass,No,No,,,No,
Griffon Reserve Credit Card,2026-06-02,Miller's Provisions,24.71,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-06-03,Almanac & Auguries Monthly,18.50,,Almanac Subscription,No,No,,,No,
Griffon Reserve Credit Card,2026-06-05,The Weary Wanderer Tavern,24.57,,Dining Out,No,No,,,No,
Millbrook Trust Checking,2026-06-05,Thornwick & Vale Trading Co. - Payroll Dep.,,1310.00,Thornwick & Vale Paycheck,No,Yes,,,No,
Griffon Reserve Credit Card,2026-06-06,Round Loaf Bakery & Grocer,39.19,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-06-06,Hearthglow Utility Co.,127.60,,Hearthglow Utilities,No,No,,,No,
Millbrook Trust Checking,2026-06-09,Safehold Mutual Assurance,25.00,,Safehold Insurance,No,No,,,No,
Millbrook Trust Checking,2026-06-09,Thrifty Sprout Market,38.72,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-06-09,Willowmere Apothecary Clinic,42.00,,Medical,No,No,,,No,
Griffon Reserve Credit Card,2026-06-12,Sunny Griffin Diner,20.49,,Dining Out,No,No,,,No,
Millbrook Trust Checking,2026-06-12,Whisperwire Messenger Co.,41.96,,Whisperwire Messenger Service,No,No,,,No,
Griffon Reserve Credit Card,2026-06-13,Thrifty Sprout Market,24.64,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-06-15,Guild of Artisans Lending Office,210.00,,Guild Apprenticeship Debt,No,No,,,No,
Griffon Reserve Credit Card,2026-06-16,Thrifty Sprout Market,19.66,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-06-19,Thornwick & Vale Trading Co. - Payroll Dep.,,1363.37,Thornwick & Vale Paycheck,No,Yes,,,No,
Millbrook Trust Checking,2026-06-19,Transfer to Millbrook Trust Savings,86.15,,Transfers,Yes,No,,,No,
Millbrook Trust Savings,2026-06-19,Transfer from Millbrook Trust Checking,,86.15,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-06-20,Thrifty Sprout Market,21.60,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-06-23,Corner Market Sundries,21.50,,Personal & Sundries,No,No,,,No,
Millbrook Trust Checking,2026-06-23,Corner Hearth Grocer,28.70,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-06-24,Payment Received - Thank You,,226.33,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-06-24,Payment to Griffon Reserve Credit Card,226.33,,Transfers,Yes,No,,,No,
Griffon Reserve Credit Card,2026-06-26,Sunny Griffin Diner,25.79,,Dining Out,No,No,,,No,
Griffon Reserve Credit Card,2026-06-27,Miller's Provisions,33.88,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-06-30,Thrifty Sprout Market,35.58,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-07-01,Ashford Row Flats - Unit 4B Rent,1100.00,,Rent,No,No,,,No,
Millbrook Trust Checking,2026-07-02,Silverline Trolley Co. - Monthly Pass,68.00,,Silverline Trolley Pass,No,No,,,No,
Millbrook Trust Checking,2026-07-03,Thornwick & Vale Trading Co. - Payroll Dep.,,1355.24,Thornwick & Vale Paycheck,No,Yes,,,No,
Millbrook Trust Checking,2026-07-03,Almanac & Auguries Monthly,18.50,,Almanac Subscription,No,No,,,No,
Millbrook Trust Checking,2026-07-03,Transfer to Millbrook Trust Savings,70.63,,Transfers,Yes,No,,,No,
Millbrook Trust Savings,2026-07-03,Transfer from Millbrook Trust Checking,,70.63,Transfers,Yes,No,,,No,
Griffon Reserve Credit Card,2026-07-04,Corner Hearth Grocer,24.95,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-07-06,Hearthglow Utility Co.,125.38,,Hearthglow Utilities,No,No,,,No,
Griffon Reserve Credit Card,2026-07-07,Miller's Provisions,38.38,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-07-09,Safehold Mutual Assurance,25.00,,Safehold Insurance,No,No,,,No,
Griffon Reserve Credit Card,2026-07-10,The Weary Wanderer Tavern,22.52,,Dining Out,No,No,,,No,
Griffon Reserve Credit Card,2026-07-11,Thrifty Sprout Market,18.27,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-07-11,Cobblestone Cobbler,45.00,,Personal & Sundries,No,No,,,No,
Millbrook Trust Checking,2026-07-12,Whisperwire Messenger Co.,47.43,,Whisperwire Messenger Service,No,No,,,No,
Millbrook Trust Checking,2026-07-14,Thrifty Sprout Market,40.09,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-07-15,Guild of Artisans Lending Office,210.00,,Guild Apprenticeship Debt,No,No,,,No,
Griffon Reserve Credit Card,2026-07-17,Sunny Griffin Diner,14.33,,Dining Out,No,No,,,No,
Millbrook Trust Checking,2026-07-17,Thornwick & Vale Trading Co. - Payroll Dep.,,1368.28,Thornwick & Vale Paycheck,No,Yes,,,No,
Millbrook Trust Checking,2026-07-17,Transfer to Millbrook Trust Savings,68.59,,Transfers,Yes,No,,,No,
Millbrook Trust Savings,2026-07-17,Transfer from Millbrook Trust Checking,,68.59,Transfers,Yes,No,,,No,
Griffon Reserve Credit Card,2026-07-18,Thrifty Sprout Market,39.96,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-07-21,Corner Hearth Grocer,21.88,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-07-24,Noodle & Newt Cafe,16.91,,Dining Out,No,No,,,No,
Griffon Reserve Credit Card,2026-07-24,Payment Received - Thank You,,202.01,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-07-24,Payment to Griffon Reserve Credit Card,202.01,,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-07-25,Miller's Provisions,36.30,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-07-28,Thrifty Sprout Market,39.13,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-07-28,Willowmere Apothecary Clinic,65.00,,Medical,No,No,,,No,
Millbrook Trust Checking,2026-07-31,Thornwick & Vale Trading Co. - Payroll Dep.,,1470.00,Thornwick & Vale Paycheck,No,Yes,,,No,
Millbrook Trust Checking,2026-07-31,Transfer to Millbrook Trust Savings,70.78,,Transfers,Yes,No,,,No,
Millbrook Trust Savings,2026-07-31,Transfer from Millbrook Trust Checking,,70.78,Transfers,Yes,No,,,No,
Griffon Reserve Credit Card,2026-08-01,Thrifty Sprout Market,30.45,,Groceries,No,No,,,No,
Griffon Reserve Credit Card,2026-08-02,Silverline Trolley Co. - Monthly Pass,68.00,,Silverline Trolley Pass,No,No,,,No,
Griffon Reserve Credit Card,2026-08-02,Tailor's Nook,28.00,,Personal & Sundries,No,No,,,No,
Millbrook Trust Checking,2026-08-03,Ashford Row Flats - Unit 4B Rent,1100.00,,Rent,No,No,,,No,
Millbrook Trust Checking,2026-08-03,Almanac & Auguries Monthly,18.50,,Almanac Subscription,No,No,,,No,
Griffon Reserve Credit Card,2026-08-04,Corner Hearth Grocer,20.67,,Groceries,No,No,,,No,
Millbrook Trust Checking,2026-08-06,Hearthglow Utility Co.,158.38,,Hearthglow Utilities,No,No,,,No,
Millbrook Trust Checking,2026-08-08,Miller's Provisions,19.23,,,,,,,No,
Millbrook Trust Checking,2026-08-09,Safehold Mutual Assurance,25.00,,,,,,,No,
Griffon Reserve Credit Card,2026-08-11,Miller's Provisions,40.78,,,,,,,No,
Millbrook Trust Checking,2026-08-12,Whisperwire Messenger Co.,41.66,,,,,,,No,
Griffon Reserve Credit Card,2026-08-14,Sunny Griffin Diner,21.94,,,,,,,No,
Millbrook Trust Checking,2026-08-14,Thornwick & Vale Trading Co. - Payroll Dep.,,1381.29,,,,,,No,
Millbrook Trust Checking,2026-08-14,Transfer to Millbrook Trust Savings,75.52,,Transfers,Yes,No,,,No,
Millbrook Trust Savings,2026-08-14,Transfer from Millbrook Trust Checking,,75.52,Transfers,Yes,No,,,No,
Millbrook Trust Checking,2026-08-15,Guild of Artisans Lending Office,210.00,,,,,,,No,
Millbrook Trust Checking,2026-08-15,Round Loaf Bakery & Grocer,40.23,,,,,,,No,
Millbrook Trust Checking,2026-08-18,Bramblewick Co-op,37.01,,,,,,,No,
Griffon Reserve Credit Card,2026-08-21,Sunny Griffin Diner,20.02,,,,,,,No,
